P_NAME,P_STATUS,P_YEAR,P_UPDATED,P_PERIOD,P_SEMI_MAJOR_AXIS,P_SEMI_MAJOR_AXIS_ERROR_MIN,P_SEMI_MAJOR_AXIS_ERROR_MAX,P_ECCENTRICITY,P_ANGULAR_DISTANCE,P_DETECTION,S_RA,S_DEC,S_DISTANCE,S_MASS,S_MASS_ERROR_MIN,S_MASS_ERROR_MAX,S_RADIUS,S_RADIUS_ERROR_MIN,S_RADIUS_ERROR_MAX,S_TYPE,S_TEMPERATURE,S_LOG_G,S_ALT_NAMES,P_FLUX,P_TYPE,S_TYPE_TEMP,S_DEC_T,S_TIDAL_LOCK,P_HABZONE_OPT,P_HABZONE_CON,P_TYPE_TEMP,S_CONSTELLATION,S_CONSTELLATION_ENG,P_RADIUS_EST,P_MASS_EST,KM_Clusters
1409.0,3.0,2016.0,66.0,56.188689,1.9163466225680938,-0.09711531307857046,0.10395002001457408,0.11986309198585941,60.00763566771654,8.0,288.64625,50.788982,566.0,1.08,-0.04,0.05,1.13,-0.09,0.14,175.0,5754.0,4.37,0.0,14.459661,4.0,3.0,2133.0,0.47106844,0.0,0.0,1.0,30.0,75.0,2.08506,4.999023,0
1430.0,3.0,2016.0,66.0,46.877937,1.9163466225680938,-0.09711531307857046,0.10395002001457408,0.11986309198585941,60.00763566771654,8.0,286.02519,39.630929,861.0,0.99,-0.07,0.08,0.99,-0.11,0.19,175.0,5797.0,4.44,0.0,15.427835,4.0,3.0,655.0,0.4541241,0.0,0.0,1.0,51.0,49.0,2.37652,6.2425017,0
1432.0,3.0,2016.0,66.0,9.3041208,1.9163466225680938,-0.09711531307857046,0.10395002001457408,0.11986309198585941,60.00763566771654,8.0,283.8994,41.221607,388.0,0.75,-0.04,0.03,0.7,-0.03,0.02,175.0,4597.0,4.62,0.0,31.702171,4.0,4.0,842.0,0.37737484,0.0,0.0,1.0,51.0,49.0,1.75997,3.74891,0
1434.0,3.0,2016.0,66.0,16.540803,1.9163466225680938,-0.09711531307857046,0.10395002001457408,0.11986309198585941,60.00763566771654,8.0,291.74164,37.688934,374.0,0.85,-0.03,0.03,0.79,-0.02,0.02,175.0,5153.0,4.57,0.0,27.23179,4.0,4.0,467.0,0.42496785,0.0,0.0,1.0,51.0,49.0,1.54698,3.011575,0
1440.0,3.0,2016.0,66.0,23.89903,1.9163466225680938,-0.09711531307857046,0.10395002001457408,0.11986309198585941,60.00763566771654,8.0,290.97933,47.989002,435.0,0.99,-0.05,0.05,0.98,-0.08,0.17,175.0,5722.0,4.46,0.0,35.235675,4.0,3.0,1829.0,0.45587958,0.0,0.0,1.0,30.0,75.0,1.60303,3.1991632,0
1450.0,3.0,2016.0,66.0,5.9456653,1.9163466225680938,-0.09711531307857046,0.10395002001457408,0.11986309198585941,60.00763566771654,8.0,284.47654,46.252579,245.0,0.6,-0.03,0.02,0.57,-0.02,0.02,175.0,4002.0,4.7,0.0,25.454201,5.0,4.0,1567.0,0.37266046,0.0,0.0,1.0,51.0,49.0,1.25552,2.1128564,0
1464.0,3.0,2016.0,66.0,18.784257,1.9163466225680938,-0.09711531307857046,0.10395002001457408,0.11986309198585941,60.00763566771654,8.0,295.25115,45.842972,464.0,0.7,-0.03,0.02,0.66,-0.02,0.01,175.0,4350.0,4.65,0.0,9.2723615,4.0,4.0,1508.0,0.37886946,0.0,0.0,1.0,30.0,75.0,2.44378,6.5454121,0
1468.0,3.0,2016.0,66.0,5.1324856,1.9163466225680938,-0.09711531307857046,0.10395002001457408,0.11986309198585941,60.00763566771654,8.0,291.09274,49.190059,227.0,0.52,-0.03,0.03,0.49,-0.03,0.03,175.0,3753.0,4.76,0.0,19.471679,4.0,5.0,1979.0,0.35808251,0.0,0.0,1.0,30.0,75.0,1.82723,3.9953845,1
1473.0,3.0,2016.0,66.0,58.601793,1.9163466225680938,-0.09711531307857046,0.10395002001457408,0.11986309198585941,60.00763566771654,8.0,297.72314,47.112659,914.0,0.99,-0.07,0.09,1.0,-0.1,0.18,175.0,5862.0,4.44,0.0,12.222164,4.0,3.0,1718.0,0.4453832,0.0,0.0,1.0,30.0,75.0,2.07385,4.9534779,0
1486.0,3.0,2010.0,0.0,46.6888,0.25,-0.002,0.002,0.013,0.38,8.0,297.11512,41.909138,658.59,0.96,-0.03,0.03,1.06,-0.02,0.02,175.0,5663.0,4.37,0.0,16.566978,4.0,3.0,947.0,0.50414067,0.0,0.0,1.0,30.0,75.0,2.48862,1.906968,0
